Row,Analysis,Identifier 1,Identifier 2,Peak Nr  Flash TCD,Rt Flash TCD,Detector Name Flash TCD,rArea Flash TCD,Amt% Flash TCD,,
19,33505,Sucrose,,1,234.1,Flash TCD,153311,0,,
19,33505,Sucrose,,,,,,,,
20,33506,USG 40,,1,135.1,Flash TCD,62462,0,,
20,33506,USG 40,,2,231.1,Flash TCD,769475,0,,
20,33506,USG 40,,,,,,,,
21,33507,N2,,1,134.1,Flash TCD,180763,0,,
21,33507,N2,,2,243.1,Flash TCD,1767,0,,
21,33507,N2,,,,,,,,
22,33508,Blank,,1,234.1,Flash TCD,452,0,,
22,33508,Blank,,,,,,,,
23,33509,USG 40,,1,134.1,Flash TCD,21421,0,,
23,33509,USG 40,,2,233.1,Flash TCD,270821,0,,
23,33509,USG 40,,,,,,,,
19,33510,Sirot_Box 1,A1,1,135.1,Flash TCD,68861,0,,
19,33510,Sirot_Box 1,A1,2,232.1,Flash TCD,540027,0,,
19,33510,Sirot_Box 1,A1,,,,,,,
20,33511,Sirot_Box 1,A2,1,134.1,Flash TCD,143291,0,,
20,33511,Sirot_Box 1,A2,2,230.1,Flash TCD,1107008,0,,
20,33511,Sirot_Box 1,A2,,,,,,,
21,33512,Sirot_Box 1,A3,,,,,,,
21,33512,Sirot_Box 1,A3,,,,,,,
22,33513,Sirot_Box 1,A4,1,135.1,Flash TCD,94151,0,,
22,33513,Sirot_Box 1,A4,2,230.1,Flash TCD,874736,0,,
22,33513,Sirot_Box 1,A4,,,,,,,
19,33514,Sirot_Box 1,A5,1,135.1,Flash TCD,17480,0,,
19,33514,Sirot_Box 1,A5,2,233.1,Flash TCD,245684,0,,
19,33514,Sirot_Box 1,A5,,,,,,,
20,33515,Sirot_Box 1,A6,1,134.1,Flash TCD,26231,0,,
20,33515,Sirot_Box 1,A6,2,232.1,Flash TCD,355703,0,,
20,33515,Sirot_Box 1,A6,,,,,,,
21,33516,Sirot_Box 1,A7,1,135.1,Flash TCD,24535,0,,
21,33516,Sirot_Box 1,A7,2,233.1,Flash TCD,332567,0,,
21,33516,Sirot_Box 1,A7,,,,,,,
22,33517,Sirot_Box 1,A8,1,135.2,Flash TCD,22077,0,,
22,33517,Sirot_Box 1,A8,2,233.2,Flash TCD,307710,0,,
22,33517,Sirot_Box 1,A8,,,,,,,
23,33518,Sirot_Box 1,A9,1,135.1,Flash TCD,27015,0,,
23,33518,Sirot_Box 1,A9,2,232.1,Flash TCD,375740,0,,
23,33518,Sirot_Box 1,A9,,,,,,,
